rep,r,rho,lambda,init,iter,delta_r,delta_c,delta
0,40,0.3,0.1,identity,1,0.4588175087164292,0.3824031299022302,0.4206103193093297
0,40,0.3,0.1,identity,2,0.08622304801697167,0.03280111565804815,0.05951208183750991
0,40,0.3,0.1,identity,3,0.009978847539952061,0.0046440084159204125,0.007311427977936237
0,40,0.3,0.1,identity,4,0.0014486623849232943,0.0006864773376535068,0.0010675698612884006
0,40,0.3,0.1,identity,5,0.00023066714926991258,0.00010895272709211766,0.00016980993818101512
0,40,0.3,0.1,identity,6,3.857135947372561e-05,1.811527996410564e-05,2.8343319718915625e-05
0,40,0.3,0.1,identity,7,6.642789170399057e-06,3.1033793966572425e-06,4.87308428352815e-06
0,40,0.3,0.1,identity,8,1.1664283914542953e-06,5.424246061599387e-07,8.54426498807117e-07
0,40,0.3,0.1,identity,9,2.0762351590396676e-07,9.615983731541526e-08,1.5189167660969102e-07
0,40,0.3,0.1,identity,10,3.733063160555574e-08,1.7226629382670636e-08,2.727863049411319e-08
0,40,0.3,0.1,identity,11,6.764426179957349e-09,3.111180325943585e-09,4.937803252950467e-09
0,40,0.3,0.1,identity,12,1.2334067648103804e-09,5.655532146964917e-10,8.994799897534361e-10
0,40,0.3,0.1,identity,13,2.2606184963626737e-10,1.0336196806527868e-10,1.6471190885077303e-10
0,40,0.3,0.1,identity,14,4.161587247049841e-11,1.8977384051683486e-11,3.0296628261090946e-11
0,40,0.3,0.1,identity,15,7.690482567450687e-12,3.498201196933934e-12,5.5943418821923104e-12
0,40,0.3,0.1,identity,16,1.4259704781848276e-12,6.471337878783739e-13,1.0365521330316007e-12
0,40,0.3,0.1,identity,17,2.6520120013492375e-13,1.2008199515764897e-13,1.9264159764628636e-13
0,40,0.3,0.1,identity,18,4.948361249788228e-14,2.2318893614468347e-14,3.5901253056175314e-14
0,40,0.3,0.1,identity,19,9.242183763815018e-15,4.167786013590512e-15,6.704984888702765e-15
0,40,0.3,0.1,identity,20,1.8185252776703344e-15,9.381245409613833e-16,1.378324909315859e-15
1,40,0.3,0.1,identity,1,0.48287084341990766,0.4035465041778374,0.4432086737988725
1,40,0.3,0.1,identity,2,0.0936471323855803,0.03481464420384215,0.06423088829471123
1,40,0.3,0.1,identity,3,0.010791178380214829,0.00496575659402389,0.007878467487119359
1,40,0.3,0.1,identity,4,0.001560809972666869,0.0007396514414309158,0.0011502307070488924
1,40,0.3,0.1,identity,5,0.00024907955753138833,0.00011854793617546292,0.00018381374685342563
1,40,0.3,0.1,identity,6,4.191714264998601e-05,1.9933536552905584e-05,3.09253396014458e-05
1,40,0.3,0.1,identity,7,7.291110480220364e-06,3.4597181369654408e-06,5.375414308592903e-06
1,40,0.3,0.1,identity,8,1.297343366772663e-06,6.140811219808831e-07,9.557122443767731e-07
1,40,0.3,0.1,identity,9,2.3470760870435985e-07,1.1082862584660213e-07,1.7276811727548098e-07
1,40,0.3,0.1,identity,10,4.300029816702357e-08,2.0260190828692614e-08,3.163024449785809e-08
1,40,0.3,0.1,identity,11,7.955384591120358e-09,3.741062289703639e-09,5.848223440411999e-09
1,40,0.3,0.1,identity,12,1.4831788116709101e-09,6.96312347703863e-10,1.0897455796873866e-09
1,40,0.3,0.1,identity,13,2.7821984880868776e-10,1.304312403816534e-10,2.0432554459517058e-10
1,40,0.3,0.1,identity,14,5.244758981454176e-11,2.4558176636904276e-11,3.8502883225723016e-11
1,40,0.3,0.1,identity,15,9.92670987561039e-12,4.643291737651844e-12,7.285000806631117e-12
1,40,0.3,0.1,identity,16,1.88503691865636e-12,8.808680570440091e-13,1.3829524878501847e-12
1,40,0.3,0.1,identity,17,3.5888987497158347e-13,1.6759408405336438e-13,2.6324197951247393e-13
1,40,0.3,0.1,identity,18,6.854957241639371e-14,3.206706414048016e-14,5.030831827843694e-14
1,40,0.3,0.1,identity,19,1.3082621711536964e-14,6.125078848096108e-15,9.603850279816535e-15
1,40,0.3,0.1,identity,20,2.5715369043220195e-15,1.2829538744318046e-15,1.927245389376912e-15
2,40,0.3,0.1,identity,1,0.474794740293437,0.40822729463546614,0.44151101746445154
2,40,0.3,0.1,identity,2,0.09131097544660291,0.03257537643196746,0.06194317593928518
2,40,0.3,0.1,identity,3,0.009936886940790176,0.00441437216616615,0.007175629553478163
2,40,0.3,0.1,identity,4,0.00141414405609553,0.0006353000899396156,0.0010247220730175727
2,40,0.3,0.1,identity,5,0.00022473656336501326,9.984427294582741e-05,0.00016229041815542033
2,40,0.3,0.1,identity,6,3.779511499232548e-05,1.6601181625638282e-05,2.7198148308981882e-05
2,40,0.3,0.1,identity,7,6.565114946242374e-06,2.8609704638731185e-06,4.713042705057746e-06
