rep,group,setting,accuracy
0,Iterations,$T=1$,0.632
0,Iterations,$T=3$,0.638
0,Iterations,$T=8$,0.638
0,Projection,"$(8,8)$",0.648
0,Projection,"$(12,12)$",0.638
0,Projection,"$(16,16)$",0.646
0,Shrinkage,"$(0.7,0.7)$",0.638
0,Shrinkage,"$(0.5,0.9)$",0.658
0,Shrinkage,"$(0.9,0.5)$",0.582
1,Iterations,$T=1$,0.65
1,Iterations,$T=3$,0.652
1,Iterations,$T=8$,0.652
1,Projection,"$(8,8)$",0.63
1,Projection,"$(12,12)$",0.652
1,Projection,"$(16,16)$",0.632
1,Shrinkage,"$(0.7,0.7)$",0.652
1,Shrinkage,"$(0.5,0.9)$",0.672
1,Shrinkage,"$(0.9,0.5)$",0.58
2,Iterations,$T=1$,0.64
2,Iterations,$T=3$,0.646
2,Iterations,$T=8$,0.646
2,Projection,"$(8,8)$",0.644
2,Projection,"$(12,12)$",0.646
2,Projection,"$(16,16)$",0.65
2,Shrinkage,"$(0.7,0.7)$",0.646
2,Shrinkage,"$(0.5,0.9)$",0.67
2,Shrinkage,"$(0.9,0.5)$",0.588
3,Iterations,$T=1$,0.66
3,Iterations,$T=3$,0.664
3,Iterations,$T=8$,0.664
3,Projection,"$(8,8)$",0.674
3,Projection,"$(12,12)$",0.664
3,Projection,"$(16,16)$",0.636
3,Shrinkage,"$(0.7,0.7)$",0.664
3,Shrinkage,"$(0.5,0.9)$",0.686
3,Shrinkage,"$(0.9,0.5)$",0.62
4,Iterations,$T=1$,0.63
4,Iterations,$T=3$,0.634
4,Iterations,$T=8$,0.634
4,Projection,"$(8,8)$",0.634
4,Projection,"$(12,12)$",0.634
4,Projection,"$(16,16)$",0.612
4,Shrinkage,"$(0.7,0.7)$",0.634
4,Shrinkage,"$(0.5,0.9)$",0.658
4,Shrinkage,"$(0.9,0.5)$",0.582
5,Iterations,$T=1$,0.64
5,Iterations,$T=3$,0.64
5,Iterations,$T=8$,0.64
5,Projection,"$(8,8)$",0.66
5,Projection,"$(12,12)$",0.64
5,Projection,"$(16,16)$",0.634
5,Shrinkage,"$(0.7,0.7)$",0.64
5,Shrinkage,"$(0.5,0.9)$",0.642
5,Shrinkage,"$(0.9,0.5)$",0.598
6,Iterations,$T=1$,0.62
6,Iterations,$T=3$,0.622
6,Iterations,$T=8$,0.622
6,Projection,"$(8,8)$",0.628
6,Projection,"$(12,12)$",0.622
6,Projection,"$(16,16)$",0.62
6,Shrinkage,"$(0.7,0.7)$",0.622
6,Shrinkage,"$(0.5,0.9)$",0.65
6,Shrinkage,"$(0.9,0.5)$",0.544
7,Iterations,$T=1$,0.602
7,Iterations,$T=3$,0.604
7,Iterations,$T=8$,0.604
7,Projection,"$(8,8)$",0.616
7,Projection,"$(12,12)$",0.604
7,Projection,"$(16,16)$",0.59
7,Shrinkage,"$(0.7,0.7)$",0.604
7,Shrinkage,"$(0.5,0.9)$",0.64
7,Shrinkage,"$(0.9,0.5)$",0.53
8,Iterations,$T=1$,0.568
8,Iterations,$T=3$,0.576
8,Iterations,$T=8$,0.576
8,Projection,"$(8,8)$",0.568
8,Projection,"$(12,12)$",0.576
8,Projection,"$(16,16)$",0.558
8,Shrinkage,"$(0.7,0.7)$",0.576
8,Shrinkage,"$(0.5,0.9)$",0.592
8,Shrinkage,"$(0.9,0.5)$",0.518
9,Iterations,$T=1$,0.64
