dataset,shots,rep,method,accuracy
Digits,3,0,L-2DLDA+,0.84
Digits,3,0,DATER-reg,0.836
Digits,3,0,MPCA,0.838
Digits,3,0,2DLDA,0.838
Digits,3,0,Nearest centroid,0.838
Digits,3,0,Ridge,0.76
Digits,3,0,Shrinkage LDA,0.786
Digits,3,1,L-2DLDA+,0.852
Digits,3,1,DATER-reg,0.83
Digits,3,1,MPCA,0.834
Digits,3,1,2DLDA,0.834
Digits,3,1,Nearest centroid,0.834
Digits,3,1,Ridge,0.664
Digits,3,1,Shrinkage LDA,0.748
Digits,3,2,L-2DLDA+,0.838
Digits,3,2,DATER-reg,0.792
Digits,3,2,MPCA,0.804
Digits,3,2,2DLDA,0.804
Digits,3,2,Nearest centroid,0.804
Digits,3,2,Ridge,0.682
Digits,3,2,Shrinkage LDA,0.72
Digits,3,3,L-2DLDA+,0.808
Digits,3,3,DATER-reg,0.816
Digits,3,3,MPCA,0.818
Digits,3,3,2DLDA,0.818
Digits,3,3,Nearest centroid,0.818
Digits,3,3,Ridge,0.676
Digits,3,3,Shrinkage LDA,0.758
Digits,3,4,L-2DLDA+,0.822
Digits,3,4,DATER-reg,0.808
Digits,3,4,MPCA,0.8
Digits,3,4,2DLDA,0.8
Digits,3,4,Nearest centroid,0.8
Digits,3,4,Ridge,0.708
Digits,3,4,Shrinkage LDA,0.768
Digits,3,5,L-2DLDA+,0.808
Digits,3,5,DATER-reg,0.798
Digits,3,5,MPCA,0.802
Digits,3,5,2DLDA,0.802
Digits,3,5,Nearest centroid,0.802
Digits,3,5,Ridge,0.712
Digits,3,5,Shrinkage LDA,0.784
Digits,3,6,L-2DLDA+,0.828
Digits,3,6,DATER-reg,0.812
Digits,3,6,MPCA,0.804
Digits,3,6,2DLDA,0.804
Digits,3,6,Nearest centroid,0.804
Digits,3,6,Ridge,0.722
Digits,3,6,Shrinkage LDA,0.78
Digits,3,7,L-2DLDA+,0.852
Digits,3,7,DATER-reg,0.822
Digits,3,7,MPCA,0.824
Digits,3,7,2DLDA,0.824
Digits,3,7,Nearest centroid,0.824
Digits,3,7,Ridge,0.718
Digits,3,7,Shrinkage LDA,0.746
Digits,3,8,L-2DLDA+,0.758
Digits,3,8,DATER-reg,0.744
Digits,3,8,MPCA,0.744
Digits,3,8,2DLDA,0.744
Digits,3,8,Nearest centroid,0.744
Digits,3,8,Ridge,0.66
Digits,3,8,Shrinkage LDA,0.692
Digits,3,9,L-2DLDA+,0.778
Digits,3,9,DATER-reg,0.774
Digits,3,9,MPCA,0.77
Digits,3,9,2DLDA,0.77
Digits,3,9,Nearest centroid,0.77
Digits,3,9,Ridge,0.708
Digits,3,9,Shrinkage LDA,0.772
Digits,3,10,L-2DLDA+,0.752
Digits,3,10,DATER-reg,0.728
Digits,3,10,MPCA,0.736
Digits,3,10,2DLDA,0.736
Digits,3,10,Nearest centroid,0.736
Digits,3,10,Ridge,0.698
Digits,3,10,Shrinkage LDA,0.748
Digits,3,11,L-2DLDA+,0.804
Digits,3,11,DATER-reg,0.796
Digits,3,11,MPCA,0.798
Digits,3,11,2DLDA,0.798
Digits,3,11,Nearest centroid,0.798
Digits,3,11,Ridge,0.728
Digits,3,11,Shrinkage LDA,0.704
Digits,3,12,L-2DLDA+,0.848
Digits,3,12,DATER-reg,0.842
Digits,3,12,MPCA,0.834
Digits,3,12,2DLDA,0.834
Digits,3,12,Nearest centroid,0.834
Digits,3,12,Ridge,0.698
Digits,3,12,Shrinkage LDA,0.792
Digits,3,13,L-2DLDA+,0.792
Digits,3,13,DATER-reg,0.798
Digits,3,13,MPCA,0.8
Digits,3,13,2DLDA,0.8
Digits,3,13,Nearest centroid,0.8
Digits,3,13,Ridge,0.618
Digits,3,13,Shrinkage LDA,0.696
Digits,3,14,L-2DLDA+,0.792
Digits,3,14,DATER-reg,0.792
Digits,3,14,MPCA,0.784
Digits,3,14,2DLDA,0.784
Digits,3,14,Nearest centroid,0.784
Digits,3,14,Ridge,0.768
Digits,3,14,Shrinkage LDA,0.818
Digits,3,15,L-2DLDA+,0.782
Digits,3,15,DATER-reg,0.786
Digits,3,15,MPCA,0.788
Digits,3,15,2DLDA,0.788
Digits,3,15,Nearest centroid,0.788
Digits,3,15,Ridge,0.712
Digits,3,15,Shrinkage LDA,0.768
Digits,3,16,L-2DLDA+,0.86
Digits,3,16,DATER-reg,0.864
Digits,3,16,MPCA,0.862
Digits,3,16,2DLDA,0.862
Digits,3,16,Nearest centroid,0.862
Digits,3,16,Ridge,0.74
Digits,3,16,Shrinkage LDA,0.834
Digits,3,17,L-2DLDA+,0.826
Digits,3,17,DATER-reg,0.806
Digits,3,17,MPCA,0.81
Digits,3,17,2DLDA,0.81
Digits,3,17,Nearest centroid,0.81
Digits,3,17,Ridge,0.72
Digits,3,17,Shrinkage LDA,0.792
Digits,3,18,L-2DLDA+,0.74
Digits,3,18,DATER-reg,0.734
Digits,3,18,MPCA,0.732
Digits,3,18,2DLDA,0.732
Digits,3,18,Nearest centroid,0.732
Digits,3,18,Ridge,0.7
Digits,3,18,Shrinkage LDA,0.778
Digits,3,19,L-2DLDA+,0.778
Digits,3,19,DATER-reg,0.77
Digits,3,19,MPCA,0.764
Digits,3,19,2DLDA,0.764
Digits,3,19,Nearest centroid,0.764
Digits,3,19,Ridge,0.582
Digits,3,19,Shrinkage LDA,0.732
