gap,rep,method,error
0.8,0,L-2DLDA,0.46875
0.8,0,2DLDA,0.459375
0.8,1,L-2DLDA,0.46562499999999996
0.8,1,2DLDA,0.5
0.8,2,L-2DLDA,0.490625
0.8,2,2DLDA,0.5
0.8,3,L-2DLDA,0.5
0.8,3,2DLDA,0.528125
0.8,4,L-2DLDA,0.475
0.8,4,2DLDA,0.46562499999999996
0.8,5,L-2DLDA,0.515625
0.8,5,2DLDA,0.459375
0.8,6,L-2DLDA,0.484375
0.8,6,2DLDA,0.490625
0.8,7,L-2DLDA,0.55
0.8,7,2DLDA,0.5
0.8,8,L-2DLDA,0.453125
0.8,8,2DLDA,0.490625
0.8,9,L-2DLDA,0.48750000000000004
0.8,9,2DLDA,0.5
0.8,10,L-2DLDA,0.46875
0.8,10,2DLDA,0.484375
0.8,11,L-2DLDA,0.48124999999999996
0.8,11,2DLDA,0.48750000000000004
0.8,12,L-2DLDA,0.5
0.8,12,2DLDA,0.48124999999999996
0.8,13,L-2DLDA,0.50625
0.8,13,2DLDA,0.5
0.8,14,L-2DLDA,0.509375
0.8,14,2DLDA,0.446875
0.8,15,L-2DLDA,0.49375
0.8,15,2DLDA,0.51875
0.8,16,L-2DLDA,0.53125
0.8,16,2DLDA,0.490625
0.8,17,L-2DLDA,0.46562499999999996
0.8,17,2DLDA,0.453125
0.8,18,L-2DLDA,0.509375
0.8,18,2DLDA,0.48750000000000004
0.8,19,L-2DLDA,0.521875
0.8,19,2DLDA,0.515625
0.8,20,L-2DLDA,0.515625
0.8,20,2DLDA,0.509375
0.8,21,L-2DLDA,0.55
0.8,21,2DLDA,0.521875
0.8,22,L-2DLDA,0.55
0.8,22,2DLDA,0.525
0.8,23,L-2DLDA,0.478125
0.8,23,2DLDA,0.503125
0.8,24,L-2DLDA,0.490625
0.8,24,2DLDA,0.503125
0.8,25,L-2DLDA,0.49375
0.8,25,2DLDA,0.490625
0.8,26,L-2DLDA,0.478125
0.8,26,2DLDA,0.50625
0.8,27,L-2DLDA,0.459375
0.8,27,2DLDA,0.49687499999999996
0.8,28,L-2DLDA,0.528125
0.8,28,2DLDA,0.44375
0.8,29,L-2DLDA,0.48750000000000004
0.8,29,2DLDA,0.44375
0.8,30,L-2DLDA,0.5
0.8,30,2DLDA,0.5
0.8,31,L-2DLDA,0.43125
0.8,31,2DLDA,0.44999999999999996
0.8,32,L-2DLDA,0.49375
0.8,32,2DLDA,0.546875
0.8,33,L-2DLDA,0.521875
0.8,33,2DLDA,0.534375
0.8,34,L-2DLDA,0.48124999999999996
0.8,34,2DLDA,0.534375
0.8,35,L-2DLDA,0.48124999999999996
0.8,35,2DLDA,0.44375
0.8,36,L-2DLDA,0.453125
0.8,36,2DLDA,0.49687499999999996
0.8,37,L-2DLDA,0.478125
