experiment,dim,features,rep,method,error
dimension,10,100,0,L-2DLDA,0.0
dimension,10,100,0,2DLDA,0.029166666666666674
dimension,10,100,0,Nearest centroid,0.02083333333333337
dimension,10,100,0,Ridge,0.02083333333333337
dimension,10,100,1,L-2DLDA,0.0
dimension,10,100,1,2DLDA,0.22083333333333333
dimension,10,100,1,Nearest centroid,0.20833333333333337
dimension,10,100,1,Ridge,0.0708333333333333
dimension,10,100,2,L-2DLDA,0.0
dimension,10,100,2,2DLDA,0.1333333333333333
dimension,10,100,2,Nearest centroid,0.08750000000000002
dimension,10,100,2,Ridge,0.054166666666666696
dimension,10,100,3,L-2DLDA,0.0
dimension,10,100,3,2DLDA,0.22083333333333333
dimension,10,100,3,Nearest centroid,0.19999999999999996
dimension,10,100,3,Ridge,0.10833333333333328
dimension,10,100,4,L-2DLDA,0.0
dimension,10,100,4,2DLDA,0.15833333333333333
dimension,10,100,4,Nearest centroid,0.09166666666666667
dimension,10,100,4,Ridge,0.050000000000000044
dimension,10,100,5,L-2DLDA,0.004166666666666652
dimension,10,100,5,2DLDA,0.19999999999999996
dimension,10,100,5,Nearest centroid,0.14583333333333337
dimension,10,100,5,Ridge,0.12083333333333335
dimension,10,100,6,L-2DLDA,0.0
dimension,10,100,6,2DLDA,0.26249999999999996
dimension,10,100,6,Nearest centroid,0.21666666666666667
dimension,10,100,6,Ridge,0.14583333333333337
dimension,10,100,7,L-2DLDA,0.0
dimension,10,100,7,2DLDA,0.09999999999999998
dimension,10,100,7,Nearest centroid,0.10416666666666663
dimension,10,100,7,Ridge,0.08333333333333337
dimension,10,100,8,L-2DLDA,0.0
dimension,10,100,8,2DLDA,0.09583333333333333
dimension,10,100,8,Nearest centroid,0.10833333333333328
dimension,10,100,8,Ridge,0.012499999999999956
dimension,10,100,9,L-2DLDA,0.0
dimension,10,100,9,2DLDA,0.1166666666666667
dimension,10,100,9,Nearest centroid,0.1333333333333333
dimension,10,100,9,Ridge,0.07916666666666672
dimension,10,100,10,L-2DLDA,0.0
dimension,10,100,10,2DLDA,0.025000000000000022
dimension,10,100,10,Nearest centroid,0.033333333333333326
dimension,10,100,10,Ridge,0.025000000000000022
dimension,10,100,11,L-2DLDA,0.0
dimension,10,100,11,2DLDA,0.12083333333333335
dimension,10,100,11,Nearest centroid,0.09583333333333333
dimension,10,100,11,Ridge,0.12916666666666665
dimension,10,100,12,L-2DLDA,0.0
dimension,10,100,12,2DLDA,0.10833333333333328
dimension,10,100,12,Nearest centroid,0.09583333333333333
dimension,10,100,12,Ridge,0.04166666666666663
dimension,10,100,13,L-2DLDA,0.0
dimension,10,100,13,2DLDA,0.09999999999999998
dimension,10,100,13,Nearest centroid,0.09583333333333333
dimension,10,100,13,Ridge,0.054166666666666696
dimension,10,100,14,L-2DLDA,0.0
dimension,10,100,14,2DLDA,0.033333333333333326
dimension,10,100,14,Nearest centroid,0.05833333333333335
dimension,10,100,14,Ridge,0.029166666666666674
dimension,10,100,15,L-2DLDA,0.0
dimension,10,100,15,2DLDA,0.1333333333333333
dimension,10,100,15,Nearest centroid,0.14166666666666672
dimension,10,100,15,Ridge,0.025000000000000022
