experiment,n_train,rep,method,error
sample,3,0,L-2DLDA,0.50625
sample,3,0,2DLDA,0.546875
sample,3,0,Nearest centroid,0.47187500000000004
sample,3,1,L-2DLDA,0.44062500000000004
sample,3,1,2DLDA,0.525
sample,3,1,Nearest centroid,0.475
sample,3,2,L-2DLDA,0.5
sample,3,2,2DLDA,0.490625
sample,3,2,Nearest centroid,0.4625
sample,3,3,L-2DLDA,0.503125
sample,3,3,2DLDA,0.503125
sample,3,3,Nearest centroid,0.475
sample,3,4,L-2DLDA,0.515625
sample,3,4,2DLDA,0.49375
sample,3,4,Nearest centroid,0.4125
sample,3,5,L-2DLDA,0.45625000000000004
sample,3,5,2DLDA,0.446875
sample,3,5,Nearest centroid,0.396875
sample,3,6,L-2DLDA,0.540625
sample,3,6,2DLDA,0.54375
sample,3,6,Nearest centroid,0.46875
sample,3,7,L-2DLDA,0.38749999999999996
sample,3,7,2DLDA,0.515625
sample,3,7,Nearest centroid,0.459375
sample,3,8,L-2DLDA,0.48750000000000004
sample,3,8,2DLDA,0.43125
sample,3,8,Nearest centroid,0.42500000000000004
sample,3,9,L-2DLDA,0.25312500000000004
sample,3,9,2DLDA,0.49687499999999996
sample,3,9,Nearest centroid,0.45625000000000004
sample,3,10,L-2DLDA,0.46875
sample,3,10,2DLDA,0.453125
sample,3,10,Nearest centroid,0.40312499999999996
sample,3,11,L-2DLDA,0.4375
sample,3,11,2DLDA,0.4125
sample,3,11,Nearest centroid,0.4125
sample,3,12,L-2DLDA,0.553125
sample,3,12,2DLDA,0.5
sample,3,12,Nearest centroid,0.428125
sample,3,13,L-2DLDA,0.56875
sample,3,13,2DLDA,0.546875
sample,3,13,Nearest centroid,0.45625000000000004
sample,3,14,L-2DLDA,0.36250000000000004
sample,3,14,2DLDA,0.503125
sample,3,14,Nearest centroid,0.459375
sample,3,15,L-2DLDA,0.421875
sample,3,15,2DLDA,0.459375
sample,3,15,Nearest centroid,0.40937500000000004
sample,3,16,L-2DLDA,0.5125
sample,3,16,2DLDA,0.50625
sample,3,16,Nearest centroid,0.45625000000000004
sample,3,17,L-2DLDA,0.5125
sample,3,17,2DLDA,0.50625
sample,3,17,Nearest centroid,0.4
sample,3,18,L-2DLDA,0.4375
sample,3,18,2DLDA,0.475
sample,3,18,Nearest centroid,0.459375
sample,3,19,L-2DLDA,0.396875
sample,3,19,2DLDA,0.47187500000000004
sample,3,19,Nearest centroid,0.40312499999999996
sample,3,20,L-2DLDA,0.540625
sample,3,20,2DLDA,0.534375
sample,3,20,Nearest centroid,0.44375
sample,3,21,L-2DLDA,0.521875
sample,3,21,2DLDA,0.503125
sample,3,21,Nearest centroid,0.43437499999999996
sample,3,22,L-2DLDA,0.46875
sample,3,22,2DLDA,0.48750000000000004
sample,3,22,Nearest centroid,0.46875
sample,3,23,L-2DLDA,0.44999999999999996
sample,3,23,2DLDA,0.478125
sample,3,23,Nearest centroid,0.46875
sample,3,24,L-2DLDA,0.48750000000000004
sample,3,24,2DLDA,0.46562499999999996
sample,3,24,Nearest centroid,0.515625
sample,3,25,L-2DLDA,0.49687499999999996
sample,3,25,2DLDA,0.484375
sample,3,25,Nearest centroid,0.490625
sample,3,26,L-2DLDA,0.44375
sample,3,26,2DLDA,0.484375
sample,3,26,Nearest centroid,0.47187500000000004
sample,3,27,L-2DLDA,0.5375
sample,3,27,2DLDA,0.5
sample,3,27,Nearest centroid,0.46875
sample,3,28,L-2DLDA,0.490625
sample,3,28,2DLDA,0.58125
sample,3,28,Nearest centroid,0.5
sample,3,29,L-2DLDA,0.38125
